"date","artist","title","rank","peak_pos","last_week","weeks"
"2018-10-13","Machine Gun Kelly","Rap Devil",79,69,"88",11
"2018-10-13","Lil Wayne","Demon",81,75,"92",12
"2018-10-13","Lil Wayne","Perfect Strangers",86,83,"-",3
"2018-10-13","Lil Wayne Featuring Nivea","Dope New Gospel",90,96,"-",2
"2018-10-13","Avril Lavigne","Head Above Water",93,68,"94",15
"2018-10-06","Ed Sheeran","Perfect",21,1,"23",57
"2018-10-06","Drake","Nice For What",39,1,"37",25
"2018-10-06","Drake","God's Plan",45,1,"40",36
"2018-10-06","Nicki Minaj","Barbie Dreams",70,41,"79",20
"2018-10-06","Juice WRLD","All Girls Are The Same",72,75,"81",10
"2018-10-06","Eminem","Fall",73,76,"82",6
"2018-10-06","Thomas Rhett","Life Changes",78,81,"96",2
"2018-10-06","Dylan Scott","Hooked",79,82,"84",5
"2018-10-06","Travis Scott","Yosemite",84,8,"80",8
"2018-10-06","Travis Scott","Stargazing",87,33,"66",3
"2018-10-06","Juice WRLD","Lean Wit Me",89,63,"75",11
"2018-10-06","Mac Miller","Self Care",90,71,"89",9
"2018-10-06","Khalid, Ty Dolla $ign & 6LACK","OTW",91,8,"59",4
"2018-10-06","Kygo Featuring Miguel","Remind Me To Forget",93,72,"98",7
"2018-10-06","Eminem","The Ringer",95,94,"-",2
"2018-10-06","The Carters","Apeshit",97,NA,"",NA
"2018-10-06","Wiz Khalifa Featuring Swae Lee","Hopeless Romantic",98,NA,"",NA
"2018-10-06","Clean Bandit Featuring Demi Lovato","Solo",99,NA,"",NA
"2018-10-06","Ozuna x Manuel Turizo","Vaina Loca",100,NA,"",NA
"2018-09-29","6LACK Featuring J. Cole","Pretty Little Fears",76,13,"73",14
"2018-09-29","Brett Young","Mercy",78,25,"86",7
"2018-09-29","The Chainsmokers Featuring Emily Warren","Side Effects",88,57,"99",17
"2018-09-29","Carrie Underwood","Cry Pretty",90,16,"77",3
"2018-09-29","Eminem Featuring Royce Da 5'9","Not Alike",94,58,"91",13
"2018-09-29","Eminem","Kamikaze",99,NA,"",NA
"2018-09-22","Bazzi","Mine",46,49,"53",11
"2018-09-22","Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny","Te Bote",50,30,"30",2
"2018-09-22","Mac Miller","Hurt Feelings",70,41,"75",18
"2018-09-22","Eminem","Greatest",84,79,"91",4
"2018-09-22","Mac Miller","Come Back To Earth",91,57,"-",16
"2018-09-22","BTS Featuring Nicki Minaj","IDOL",92,36,"98",15
"2018-09-22","Childish Gambino","Feels Like Summer",93,72,"98",7
"2018-09-22","Drake","I'm Upset",97,NA,"",NA
"2018-09-22","Migos","Narcos",100,NA,"",NA
"2018-09-15","Eminem","Normal",39,48,"50",8
"2018-09-15","Eminem","Stepping Stone",42,36,"49",20
"2018-09-15","Eminem & Jessie Reyez","Nice Guy",65,73,"73",6
"2018-09-15","Eminem Featuring Jessie Reyez","Good Guy",67,80,"83",2
"2018-09-15","YoungBoy Never Broke Again Featuring Kevin Gates & Quando Rondo","I Am Who They Say I Am",87,11,"81",3
"2018-09-15","G-Eazy Featuring Yo Gotti & YBN Nahmir","1942",96,NA,"",NA
"2018-09-15","Childish Gambino","Summertime Magic",100,NA,"",NA
"2018-09-08","Marshmello & Anne-Marie","Friends",41,6,"41",37
"2018-09-08","Camila Cabello","Never Be The Same",42,26,"39",21
"2018-09-08","Calvin Harris & Dua Lipa","One Kiss",43,44,"50",4
"2018-09-08","XXXTENTACION","Moonlight",47,22,"44",21
"2018-09-08","Kenny Chesney","Get Along",48,36,"47",19
"2018-09-08","Ozuna","Unica",72,75,"75",7
"2018-09-08","XXXTENTACION","Changes",78,78,"78",2
"2018-09-08","Zedd & Elley Duhe","Happy Now",90,57,"-",15
"2018-09-08","Ciara","Level Up",91,70,"98",12
"2018-09-08","Trippie Redd","Taking A Walk",92,1,"95",17
"2018-09-08","Backstreet Boys","Don't Go Breaking My Heart",94,58,"91",13
"2018-09-08","Drake","Mob Ties",95,94,"-",2
"2018-09-08","Juice WRLD Featuring Lil Uzi Vert","Wasted",97,NA,"",NA
"2018-09-08","Becky G + Natti Natasha","Sin Pijama",99,NA,"",NA
"2018-09-08","Childish Gambino","This Is America",100,NA,"",NA
"2018-09-01","Shawn Mendes","In My Blood",42,43,"45",9
"2018-09-01","Ariana Grande","Sweetener",55,57,"91",2
"2018-09-01","Ariana Grande","Everytime",62,67,"76",3
"2018-09-01","Ariana Grande","R.E.M",72,46,"46",2
"2018-09-01","Morgan Evans","Kiss Somebody",86,72,"72",2
"2018-09-01","Ariana Grande","Goodnight N Go",87,90,"96",4
"2018-09-01","Janet & Daddy Yankee","Made For Now",88,70,"93",11
"2018-09-01","Ariana Grande Featuring Nicki Minaj","The Light Is Coming",89,10,"44",16
"2018-09-01","Nicki Minaj Featuring Ariana Grande","Bed",91,70,"98",12
"2018-09-01","Alessia Cara","Growing Pains",92,1,"95",17
"2018-09-01","Chris Lane Featuring Tori Kelly","Take Back Home Girl",93,72,"98",7
