date,year,title,artist,peak_pos,last_week,weeks,rank,change,spotifyLink,spotifyID,videoLink,genre,analysis_url,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
2018-12-08,,In My Feelings,Drake,1,25,22,37,,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,2G7V7zsVDxg1yRsu7Ew9RJ,,"[u'canadian hip hop', u'canadian pop', u'hip hop', u'pop rap', u'rap']",https://api.spotify.com/v1/audio-analysis/2G7V7zsVDxg1yRsu7Ew9RJ,0.626,0.396,91.03,0.125,0.0589,6e-05,4,0.835,1,217925,-5.833,0.35,1
2018-12-08,,Speechless,Dan + Shay,33,33,12,38,,spotify:track:7q7jyVU0f0hnod8tsaUmxg,7q7jyVU0f0hnod8tsaUmxg,,"[u'contemporary country', u'country road']",https://api.spotify.com/v1/audio-analysis/7q7jyVU0f0hnod8tsaUmxg,0.44,0.239,136.033,0.028,0.328,0,4,0.631,1,212745,-5.948,0.418,1
2018-12-08,,The Christmas Song (Merry Christmas To You),Nat King Cole,37,-,13,39,,spotify:track:4PS1e8f2LvuTFgUs1Cn3ON,4PS1e8f2LvuTFgUs1Cn3ON,,"[u'adult standards', u'christmas', u'vocal jazz']",https://api.spotify.com/v1/audio-analysis/4PS1e8f2LvuTFgUs1Cn3ON,0.21,0.138,78.696,0.0341,0.92,8.06e-05,4,0.319,1,192160,-15.231,0.209,1
2018-12-08,,Uproar,Lil Wayne,7,37,9,40,,spotify:track:3wScL5W8H40zzCKN0atfBk,3wScL5W8H40zzCKN0atfBk,,"[u'hip hop', u'pop rap', u'rap']",https://api.spotify.com/v1/audio-analysis/3wScL5W8H40zzCKN0atfBk,0.87,0.299,99.075,0.212,0.0595,0,4,0.743,1,194184,-2.188,0.884,1
2018-12-08,,Lose It,Kane Brown,28,40,20,41,,spotify:track:6GBndDk0OEpDkmKoSBJyyK,6GBndDk0OEpDkmKoSBJyyK,,"[u'contemporary country', u'country road']",https://api.spotify.com/v1/audio-analysis/6GBndDk0OEpDkmKoSBJyyK,0.869,0.29,91.988,0.0289,0.00261,1.77e-06,4,0.549,4,178733,-4.905,0.433,0
2018-12-08,,She Got The Best Of Me ,Luke Combs,34,34,16,42,,spotify:track:698eQRku24PIYPQPHItKlA,698eQRku24PIYPQPHItKlA,,"[u'contemporary country', u'country road']",https://api.spotify.com/v1/audio-analysis/698eQRku24PIYPQPHItKlA,0.907,0.386,150.99,0.0406,0.0292,0,4,0.533,11,183160,-3.793,0.7,1
2018-12-08,,Last Christmas,Wham!,41,-,5,43,,spotify:track:6wn2nmFn3wDuiMldRiuRuL,6wn2nmFn3wDuiMldRiuRuL,,"[u'dance rock', u'europop', u'new romantic', u'new wave', u'new wave pop', u'soft rock']",https://api.spotify.com/v1/audio-analysis/6wn2nmFn3wDuiMldRiuRuL,0.618,0.221,106.856,0.0282,0.262,0,4,0.757,11,267160,-7.964,0.861,0
2018-12-08,,Yes Indeed,Lil Baby & Drake,6,31,29,44,,spotify:track:6vN77lE9LK6HP2DewaN6HZ,6vN77lE9LK6HP2DewaN6HZ,,"[u'atl hip hop', u'rap', u'trap music']",https://api.spotify.com/v1/audio-analysis/6vN77lE9LK6HP2DewaN6HZ,0.346,0.108,119.958,0.53,0.035,0,4,0.964,5,142273,-9.309,0.562,0
2018-12-08,,Tequila,Dan + Shay,21,36,38,45,,spotify:track:7Il2yWQmsqKgSkLQvHTPUI,7Il2yWQmsqKgSkLQvHTPUI,,"[u'contemporary country', u'country road']",https://api.spotify.com/v1/audio-analysis/7Il2yWQmsqKgSkLQvHTPUI,0.594,0.133,86.131,0.0289,0.0292,0,4,0.474,11,195987,-5.756,0.503,1
2018-12-08,,Nonstop,Drake,2,32,22,46,,spotify:track:0TlLq3lA83rQOYtrqBqSct,0TlLq3lA83rQOYtrqBqSct,,"[u'canadian hip hop', u'canadian pop', u'hip hop', u'pop rap', u'rap']",https://api.spotify.com/v1/audio-analysis/0TlLq3lA83rQOYtrqBqSct,0.412,0.104,154.983,0.124,0.0164,0.013,4,0.912,7,238614,-8.074,0.422,1
